               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.053159,            0.025338,           0.0021552,                   1,             0.25511,             0.45553,             0.24205,            0.055607,            0.018433,           0.0022396,            0.006436,            0.006436,            0.006436
                 110,            0.052993,            0.024979,           0.0018528,                   1,             0.25511,             0.45553,             0.24205,            0.055607,            0.018433,           0.0022396,            0.006403,            0.006403,            0.006403
                 111,            0.051421,            0.020954,           0.0025531,             0.91192,                 0.2,              0.4623,             0.25128,            0.049151,            0.018871,           0.0021729,             0.00637,             0.00637,             0.00637
                 112,            0.050661,            0.032857,           0.0021085,             0.91192,                 0.2,              0.4623,             0.25128,            0.049151,            0.018871,           0.0021729,            0.006337,            0.006337,            0.006337
                 113,            0.054459,            0.021257,           0.0019916,              0.6496,             0.21511,             0.34724,             0.10251,            0.052836,            0.018429,           0.0020618,            0.006304,            0.006304,            0.006304
                 114,            0.053628,            0.035957,           0.0023426,              0.6496,             0.21511,             0.34724,             0.10251,            0.052836,            0.018429,           0.0020618,            0.006271,            0.006271,            0.006271
                 115,             0.05247,            0.035068,            0.001958,             0.73067,             0.26134,             0.39766,             0.15195,            0.052119,            0.018024,           0.0019924,            0.006238,            0.006238,            0.006238
                 116,            0.050697,            0.023914,           0.0018563,             0.73067,             0.26134,             0.39766,             0.15195,            0.052119,            0.018024,           0.0019924,            0.006205,            0.006205,            0.006205
                 117,            0.054224,            0.027921,           0.0023372,                   1,             0.25779,             0.48369,             0.23143,            0.053189,            0.017632,           0.0019577,            0.006172,            0.006172,            0.006172
                 118,            0.049383,            0.025242,           0.0031342,                   1,             0.25779,             0.48369,             0.23143,            0.053189,            0.017632,           0.0019577,            0.006139,            0.006139,            0.006139
                 119,            0.046322,            0.029528,           0.0016728,             0.90125,                 0.2,             0.43226,             0.19699,            0.054415,            0.017593,           0.0019112,            0.006106,            0.006106,            0.006106
                 120,            0.049417,            0.029683,           0.0018007,             0.90125,                 0.2,             0.43226,             0.19699,            0.054415,            0.017593,           0.0019112,            0.006073,            0.006073,            0.006073
                 121,            0.048367,            0.024568,           0.0015462,                   1,             0.26757,             0.46212,             0.18567,            0.052833,            0.017651,           0.0019409,             0.00604,             0.00604,             0.00604
                 122,            0.051042,            0.027052,           0.0018372,                   1,             0.26757,             0.46212,             0.18567,            0.052833,            0.017651,           0.0019409,            0.006007,            0.006007,            0.006007
                 123,            0.054806,            0.025627,           0.0017813,             0.77005,                 0.3,             0.51444,              0.1782,            0.052599,            0.017521,           0.0019619,            0.005974,            0.005974,            0.005974
                 124,            0.049302,            0.029898,           0.0018627,             0.77005,                 0.3,             0.51444,              0.1782,            0.052599,            0.017521,           0.0019619,            0.005941,            0.005941,            0.005941
                 125,            0.049372,            0.023472,           0.0017221,             0.65052,                 0.5,             0.49492,             0.24137,             0.04944,            0.017822,            0.001923,            0.005908,            0.005908,            0.005908
                 126,            0.049198,            0.033395,           0.0019802,             0.65052,                 0.5,             0.49492,             0.24137,             0.04944,            0.017822,            0.001923,            0.005875,            0.005875,            0.005875
                 127,             0.04836,            0.028986,            0.001763,             0.62366,                 0.5,               0.561,             0.18233,            0.054155,            0.017242,           0.0019005,            0.005842,            0.005842,            0.005842
                 128,            0.054419,            0.019936,           0.0018235,             0.62366,                 0.5,               0.561,             0.18233,            0.054155,            0.017242,           0.0019005,            0.005809,            0.005809,            0.005809
                 129,            0.049373,            0.028403,           0.0016879,             0.66272,                 0.5,             0.59353,             0.20895,            0.052022,            0.017567,             0.00187,            0.005776,            0.005776,            0.005776
                 130,            0.050002,            0.022115,           0.0015116,             0.66272,                 0.5,             0.59353,             0.20895,            0.052022,            0.017567,             0.00187,            0.005743,            0.005743,            0.005743
                 131,            0.051179,            0.037306,           0.0018427,             0.65325,                 0.5,             0.48164,             0.19109,            0.049776,            0.017883,           0.0018688,             0.00571,             0.00571,             0.00571
                 132,            0.048166,            0.022621,           0.0013399,             0.65325,                 0.5,             0.48164,             0.19109,            0.049776,            0.017883,           0.0018688,            0.005677,            0.005677,            0.005677
                 133,            0.048706,             0.02461,           0.0015992,             0.68463,                 0.4,             0.50437,             0.27599,            0.046367,            0.018135,           0.0018642,            0.005644,            0.005644,            0.005644
                 134,            0.050986,             0.02262,           0.0014613,             0.68463,                 0.4,             0.50437,             0.27599,            0.046367,            0.018135,           0.0018642,            0.005611,            0.005611,            0.005611
                 135,            0.053973,            0.022409,           0.0012214,                   1,             0.29668,             0.54782,             0.25827,            0.046872,            0.018169,           0.0018272,            0.005578,            0.005578,            0.005578
                 136,            0.048635,            0.020833,           0.0012068,                   1,             0.29668,             0.54782,             0.25827,            0.046872,            0.018169,           0.0018272,            0.005545,            0.005545,            0.005545
                 137,            0.047273,            0.020974,           0.0015235,              0.8764,              0.3056,             0.67118,             0.32256,            0.051967,            0.017208,           0.0017899,            0.005512,            0.005512,            0.005512
                 138,            0.045635,            0.023798,           0.0014032,              0.8764,              0.3056,             0.67118,             0.32256,            0.051967,            0.017208,           0.0017899,            0.005479,            0.005479,            0.005479
                 139,            0.054184,            0.025609,           0.0019346,                   1,             0.29472,             0.66258,             0.29118,            0.048703,            0.017536,           0.0017941,            0.005446,            0.005446,            0.005446
